Suburb,avg_price,median_price,avg_building_area,total_revenue,transaction_count,avg_price_per_room,avg_landsize,price_to_area_ratio,revenue_pct,cumulative_revenue_pct,pareto_80
Hampton East,1048440.0,1070000.0,125.54,26211000.0,25,364669.9992,438.0,8351.44,0.181,89.931,False
Craigieburn,557340.4255319149,548000.0,162.19765957446808,26195000.0,47,156317.37617021275,487.21276595744683,3436.18,0.181,90.112,False
Southbank,634012.1951219512,600000.0,86.0,25994500.0,41,319250.0,698.3658536585366,7372.23,0.179,90.291,False
Werribee,510754.0,490000.0,141.4,25537700.0,50,160370.5,584.36,3612.12,0.176,90.467,False
Mentone,956346.1538461539,892500.0,143.18981538461537,24865000.0,26,315958.3342307692,475.6923076923077,6678.87,0.171,90.638,False
Albion,604853.6585365854,613000.0,116.2560975609756,24799000.0,41,232658.53609756098,545.0243902439024,5202.77,0.171,90.809,False
Wantirna South,1102863.6363636365,1107500.0,189.5681818181818,24263000.0,22,280223.48454545456,618.0909090909091,5817.77,0.167,90.976,False
Cremorne,960700.0,1000000.0,99.36,24017500.0,25,447883.3332,127.12,9668.88,0.166,91.142,False
Forest Hill,982340.9090909091,1005500.0,174.65454545454546,21611500.0,22,303087.12136363634,512.5,5624.48,0.149,91.291,False
Eltham,858340.0,855000.0,158.2,21458500.0,25,253188.3332,743.76,5425.66,0.148,91.439,False
Hoppers Crossing,563857.8947368421,540500.0,150.54052631578946,21426600.0,38,170237.71894736844,655.078947368421,3745.56,0.148,91.587,False
Nunawading,1025550.0,1021000.0,140.35,20511000.0,20,321958.334,553.95,7307.09,0.141,91.728,False
Balaclava,749944.4444444445,520000.0,81.37037037037037,20248500.0,27,348793.21,241.03703703703704,9216.43,0.14,91.868,False
Yallambie,839687.5,773000.0,168.05833333333334,20152500.0,24,244001.73625,599.375,4996.41,0.139,92.007,False
Sunbury,528480.2631578947,496750.0,145.31578947368422,20082250.0,38,162843.20236842107,685.6842105263158,3636.77,0.139,92.146,False
Mordialloc,1109750.0,1197500.0,164.16666666666666,19975500.0,18,367810.185,435.5,6759.9,0.138,92.284,False
Essendon North,881068.1818181818,792500.0,110.35909090909091,19383500.0,22,319321.97,434.3636363636364,7983.65,0.134,92.418,False
Ringwood,966624.95,920000.0,136.125,19332499.0,20,324754.154,700.05,7101.01,0.133,92.551,False
Thomastown,653482.7586206896,640000.0,136.89655172413794,18951000.0,29,210755.74655172415,546.2068965517242,4773.55,0.131,92.682,False
Dingley Village,894666.6666666666,871000.0,162.95238095238096,18788000.0,21,268873.0157142857,648.7619047619048,5490.36,0.13,92.812,False
